Crash_Date,Count,DayOfWeek,Holiday,Weather,Avg2days
11/14/2016,44,0,0,0,28.5
11/15/2016,29,1,0,0,35
11/16/2016,41,2,0,0,36.5
11/17/2016,53,3,0,0,35
11/18/2016,35,4,0,0,47
11/19/2016,23,5,0,0,44
11/20/2016,29,6,0,0,29
11/21/2016,26,0,0,0,26
11/22/2016,31,1,0,0,27.5
11/23/2016,26,2,0,0,28.5
11/24/2016,20,3,1,0,28.5
11/25/2016,37,4,0,0,23
11/26/2016,28,5,0,0,28.5
11/27/2016,28,6,0,0,32.5
11/28/2016,37,0,0,0,28
11/29/2016,35,1,0,0,32.5
11/30/2016,41,2,0,0,36
12/1/2016,46,3,0,0,38
12/2/2016,37,4,0,0,43.5
12/3/2016,44,5,0,0,41.5
12/4/2016,21,6,0,0,40.5
12/5/2016,52,0,0,0,32.5
12/6/2016,38,1,0,0,36.5
12/7/2016,35,2,0,0,45
12/8/2016,42,3,0,0,36.5
12/9/2016,43,4,0,0,38.5
12/10/2016,34,5,0,0,42.5
12/11/2016,23,6,0,0,38.5
12/12/2016,37,0,0,0,28.5
12/13/2016,43,1,0,0,30
12/14/2016,38,2,0,0,40
12/15/2016,48,3,0,0,40.5
12/16/2016,61,4,0,1,43
12/17/2016,43,5,0,0,54.5
12/18/2016,35,6,0,0,52
12/19/2016,37,0,0,0,39
12/20/2016,43,1,0,0,36
12/21/2016,32,2,0,0,40
12/22/2016,87,3,0,1,37.5
12/23/2016,35,4,0,1,59.5
12/24/2016,36,5,0,1,61
12/25/2016,23,6,1,0,35.5
12/26/2016,28,0,1,0,29.5
12/27/2016,33,1,0,0,25.5
12/28/2016,37,2,0,0,30.5
12/29/2016,41,3,0,0,35
12/30/2016,40,4,0,1,39
12/31/2016,34,5,0,1,40.5
